age,gender,state,category,annual_income,occupation,employment_status,education_level,family_size,land_holding,bpl_card,disability_status,scheme_name,scheme_category,eligible,citizen_id
47,Other,Maharashtra,SC,0.0,Homemaker,Unemployed,Higher Secondary,5,1.58,True,True,PM Awas Yojana,Housing,True,245
47,Other,Maharashtra,SC,0.0,Homemaker,Unemployed,Higher Secondary,5,1.58,True,True,Skill India,Employment,False,245
26,Other,Delhi,General,0.0,Homemaker,Unemployed,Primary,8,2.0,True,False,PM Kisan,Agriculture,False,246
26,Other,Delhi,General,0.0,Homemaker,Unemployed,Primary,8,2.0,True,False,Post Matric Scholarship,Education,False,246
26,Other,Delhi,General,0.0,Homemaker,Unemployed,Primary,8,2.0,True,False,Ayushman Bharat,Healthcare,True,246
26,Other,Delhi,General,0.0,Homemaker,Unemployed,Primary,8,2.0,True,False,PM Awas Yojana,Housing,True,246
26,Other,Delhi,General,0.0,Homemaker,Unemployed,Primary,8,2.0,True,False,Skill India,Employment,False,246
42,Other,Karnataka,OBC,978447.06,Government Employee,Employed,Graduate,5,0.0,False,False,PM Kisan,Agriculture,False,247
42,Other,Karnataka,OBC,978447.06,Government Employee,Employed,Graduate,5,0.0,False,False,Post Matric Scholarship,Education,False,247
42,Other,Karnataka,OBC,978447.06,Government Employee,Employed,Graduate,5,0.0,False,False,Ayushman Bharat,Healthcare,False,247
42,Other,Karnataka,OBC,978447.06,Government Employee,Employed,Graduate,5,0.0,False,False,PM Awas Yojana,Housing,False,247
42,Other,Karnataka,OBC,978447.06,Government Employee,Employed,Graduate,5,0.0,False,False,Skill India,Employment,False,247
57,Female,Tamil Nadu,OBC,1424445.67,Private Employee,Employed,Diploma,4,0.0,False,True,PM Kisan,Agriculture,False,248
57,Female,Tamil Nadu,OBC,1424445.67,Private Employee,Employed,Diploma,4,0.0,False,True,Post Matric Scholarship,Education,False,248
57,Female,Tamil Nadu,OBC,1424445.67,Private Employee,Employed,Diploma,4,0.0,False,True,Ayushman Bharat,Healthcare,False,248
57,Female,Tamil Nadu,OBC,1424445.67,Private Employee,Employed,Diploma,4,0.0,False,True,PM Awas Yojana,Housing,False,248
57,Female,Tamil Nadu,OBC,1424445.67,Private Employee,Employed,Diploma,4,0.0,False,True,Skill India,Employment,False,248
80,Male,Maharashtra,General,352838.96,Retired,Retired,Graduate,2,1.56,False,False,PM Kisan,Agriculture,False,249
80,Male,Maharashtra,General,352838.96,Retired,Retired,Graduate,2,1.56,False,False,Post Matric Scholarship,Education,False,249
80,Male,Maharashtra,General,352838.96,Retired,Retired,Graduate,2,1.56,False,False,Ayushman Bharat,Healthcare,False,249
80,Male,Maharashtra,General,352838.96,Retired,Retired,Graduate,2,1.56,False,False,PM Awas Yojana,Housing,False,249
80,Male,Maharashtra,General,352838.96,Retired,Retired,Graduate,2,1.56,False,False,Skill India,Employment,False,249
20,Male,Tamil Nadu,General,106157.18,Student,Student,Higher Secondary,6,0.0,True,True,PM Kisan,Agriculture,False,250
20,Male,Tamil Nadu,General,106157.18,Student,Student,Higher Secondary,6,0.0,True,True,Post Matric Scholarship,Education,True,250
20,Male,Tamil Nadu,General,106157.18,Student,Student,Higher Secondary,6,0.0,True,True,Ayushman Bharat,Healthcare,True,250
20,Male,Tamil Nadu,General,106157.18,Student,Student,Higher Secondary,6,0.0,True,True,PM Awas Yojana,Housing,True,250
20,Male,Tamil Nadu,General,106157.18,Student,Student,Higher Secondary,6,0.0,True,True,Skill India,Employment,True,250
24,Male,Karnataka,ST,96967.37,Unemployed,Unemployed,Higher Secondary,2,0.0,False,True,PM Kisan,Agriculture,False,251
24,Male,Karnataka,ST,96967.37,Unemployed,Unemployed,Higher Secondary,2,0.0,False,True,Post Matric Scholarship,Education,False,251
24,Male,Karnataka,ST,96967.37,Unemployed,Unemployed,Higher Secondary,2,0.0,False,True,Ayushman Bharat,Healthcare,False,251
24,Male,Karnataka,ST,96967.37,Unemployed,Unemployed,Higher Secondary,2,0.0,False,True,PM Awas Yojana,Housing,False,251
24,Male,Karnataka,ST,96967.37,Unemployed,Unemployed,Higher Secondary,2,0.0,False,True,Skill India,Employment,True,251
72,Male,Tamil Nadu,SC,536103.57,Retired,Retired,Graduate,3,0.09,False,True,PM Kisan,Agriculture,False,252
72,Male,Tamil Nadu,SC,536103.57,Retired,Retired,Graduate,3,0.09,False,True,Post Matric Scholarship,Education,False,252
72,Male,Tamil Nadu,SC,536103.57,Retired,Retired,Graduate,3,0.09,False,True,Ayushman Bharat,Healthcare,False,252
72,Male,Tamil Nadu,SC,536103.57,Retired,Retired,Graduate,3,0.09,False,True,PM Awas Yojana,Housing,False,252
72,Male,Tamil Nadu,SC,536103.57,Retired,Retired,Graduate,3,0.09,False,True,Skill India,Employment,False,252
31,Female,Maharashtra,ST,52707.65,Unemployed,Unemployed,Graduate,7,0.0,False,True,PM Kisan,Agriculture,False,253
31,Female,Maharashtra,ST,52707.65,Unemployed,Unemployed,Graduate,7,0.0,False,True,Post Matric Scholarship,Education,False,253
31,Female,Maharashtra,ST,52707.65,Unemployed,Unemployed,Graduate,7,0.0,False,True,Ayushman Bharat,Healthcare,False,253
31,Female,Maharashtra,ST,52707.65,Unemployed,Unemployed,Graduate,7,0.0,False,True,PM Awas Yojana,Housing,False,253
31,Female,Maharashtra,ST,52707.65,Unemployed,Unemployed,Graduate,7,0.0,False,True,Skill India,Employment,True,253
28,Male,Maharashtra,SC,567833.08,Private Employee,Employed,Post Graduate,5,0.0,False,True,PM Kisan,Agriculture,False,254
28,Male,Maharashtra,SC,567833.08,Private Employee,Employed,Post Graduate,5,0.0,False,True,Post Matric Scholarship,Education,False,254
28,Male,Maharashtra,SC,567833.08,Private Employee,Employed,Post Graduate,5,0.0,False,True,Ayushman Bharat,Healthcare,False,254
28,Male,Maharashtra,SC,567833.08,Private Employee,Employed,Post Graduate,5,0.0,False,True,PM Awas Yojana,Housing,False,254
28,Male,Maharashtra,SC,567833.08,Private Employee,Employed,Post Graduate,5,0.0,False,True,Skill India,Employment,False,254
58,Male,Karnataka,ST,0.0,Homemaker,Unemployed,Graduate,8,2.46,False,False,PM Kisan,Agriculture,False,255
58,Male,Karnataka,ST,0.0,Homemaker,Unemployed,Graduate,8,2.46,False,False,Post Matric Scholarship,Education,False,255
58,Male,Karnataka,ST,0.0,Homemaker,Unemployed,Graduate,8,2.46,False,False,Ayushman Bharat,Healthcare,False,255
58,Male,Karnataka,ST,0.0,Homemaker,Unemployed,Graduate,8,2.46,False,False,PM Awas Yojana,Housing,False,255
58,Male,Karnataka,ST,0.0,Homemaker,Unemployed,Graduate,8,2.46,False,False,Skill India,Employment,False,255
43,Female,Tamil Nadu,SC,81388.72,Unemployed,Unemployed,Higher Secondary,4,0.0,True,True,PM Kisan,Agriculture,False,256
43,Female,Tamil Nadu,SC,81388.72,Unemployed,Unemployed,Higher Secondary,4,0.0,True,True,Post Matric Scholarship,Education,False,256
43,Female,Tamil Nadu,SC,81388.72,Unemployed,Unemployed,Higher Secondary,4,0.0,True,True,Ayushman Bharat,Healthcare,True,256
43,Female,Tamil Nadu,SC,81388.72,Unemployed,Unemployed,Higher Secondary,4,0.0,True,True,PM Awas Yojana,Housing,True,256
43,Female,Tamil Nadu,SC,81388.72,Unemployed,Unemployed,Higher Secondary,4,0.0,True,True,Skill India,Employment,True,256
64,Other,Tamil Nadu,SC,248216.12,Farmer,Self-Employed,Secondary,6,6.64,False,True,PM Kisan,Agriculture,False,257
64,Other,Tamil Nadu,SC,248216.12,Farmer,Self-Employed,Secondary,6,6.64,False,True,Post Matric Scholarship,Education,False,257
64,Other,Tamil Nadu,SC,248216.12,Farmer,Self-Employed,Secondary,6,6.64,False,True,Ayushman Bharat,Healthcare,False,257
64,Other,Tamil Nadu,SC,248216.12,Farmer,Self-Employed,Secondary,6,6.64,False,True,PM Awas Yojana,Housing,False,257
64,Other,Tamil Nadu,SC,248216.12,Farmer,Self-Employed,Secondary,6,6.64,False,True,Skill India,Employment,False,257
25,Other,Kerala,OBC,120690.71,Farmer,Self-Employed,Secondary,7,3.1,True,True,PM Kisan,Agriculture,True,258
25,Other,Kerala,OBC,120690.71,Farmer,Self-Employed,Secondary,7,3.1,True,True,Post Matric Scholarship,Education,False,258
25,Other,Kerala,OBC,120690.71,Farmer,Self-Employed,Secondary,7,3.1,True,True,Ayushman Bharat,Healthcare,True,258
25,Other,Kerala,OBC,120690.71,Farmer,Self-Employed,Secondary,7,3.1,True,True,PM Awas Yojana,Housing,True,258
25,Other,Kerala,OBC,120690.71,Farmer,Self-Employed,Secondary,7,3.1,True,True,Skill India,Employment,False,258
56,Female,Kerala,SC,186345.45,Farmer,Self-Employed,Higher Secondary,4,3.29,True,False,PM Kisan,Agriculture,True,259
56,Female,Kerala,SC,186345.45,Farmer,Self-Employed,Higher Secondary,4,3.29,True,False,Post Matric Scholarship,Education,False,259
56,Female,Kerala,SC,186345.45,Farmer,Self-Employed,Higher Secondary,4,3.29,True,False,Ayushman Bharat,Healthcare,True,259
56,Female,Kerala,SC,186345.45,Farmer,Self-Employed,Higher Secondary,4,3.29,True,False,PM Awas Yojana,Housing,True,259
56,Female,Kerala,SC,186345.45,Farmer,Self-Employed,Higher Secondary,4,3.29,True,False,Skill India,Employment,False,259
61,Other,Delhi,ST,1173754.1,Business,Self-Employed,Graduate,3,0.67,False,False,PM Kisan,Agriculture,False,260
61,Other,Delhi,ST,1173754.1,Business,Self-Employed,Graduate,3,0.67,False,False,Post Matric Scholarship,Education,False,260
61,Other,Delhi,ST,1173754.1,Business,Self-Employed,Graduate,3,0.67,False,False,Ayushman Bharat,Healthcare,False,260
61,Other,Delhi,ST,1173754.1,Business,Self-Employed,Graduate,3,0.67,False,False,PM Awas Yojana,Housing,False,260
61,Other,Delhi,ST,1173754.1,Business,Self-Employed,Graduate,3,0.67,False,False,Skill India,Employment,False,260
64,Other,Maharashtra,ST,478895.58,Retired,Retired,Graduate,3,3.51,False,True,PM Kisan,Agriculture,False,261
64,Other,Maharashtra,ST,478895.58,Retired,Retired,Graduate,3,3.51,False,True,Post Matric Scholarship,Education,False,261
64,Other,Maharashtra,ST,478895.58,Retired,Retired,Graduate,3,3.51,False,True,Ayushman Bharat,Healthcare,False,261
64,Other,Maharashtra,ST,478895.58,Retired,Retired,Graduate,3,3.51,False,True,PM Awas Yojana,Housing,False,261
64,Other,Maharashtra,ST,478895.58,Retired,Retired,Graduate,3,3.51,False,True,Skill India,Employment,False,261
20,Male,Kerala,ST,39083.22,Student,Student,Graduate,4,0.0,False,True,PM Kisan,Agriculture,False,262
20,Male,Kerala,ST,39083.22,Student,Student,Graduate,4,0.0,False,True,Post Matric Scholarship,Education,True,262
20,Male,Kerala,ST,39083.22,Student,Student,Graduate,4,0.0,False,True,Ayushman Bharat,Healthcare,False,262
20,Male,Kerala,ST,39083.22,Student,Student,Graduate,4,0.0,False,True,PM Awas Yojana,Housing,False,262
20,Male,Kerala,ST,39083.22,Student,Student,Graduate,4,0.0,False,True,Skill India,Employment,True,262
47,Female,Kerala,General,0.0,Homemaker,Unemployed,Primary,6,0.88,True,True,PM Kisan,Agriculture,False,263
47,Female,Kerala,General,0.0,Homemaker,Unemployed,Primary,6,0.88,True,True,Post Matric Scholarship,Education,False,263
47,Female,Kerala,General,0.0,Homemaker,Unemployed,Primary,6,0.88,True,True,Ayushman Bharat,Healthcare,True,263
47,Female,Kerala,General,0.0,Homemaker,Unemployed,Primary,6,0.88,True,True,PM Awas Yojana,Housing,True,263
47,Female,Kerala,General,0.0,Homemaker,Unemployed,Primary,6,0.88,True,True,Skill India,Employment,False,263
27,Female,Maharashtra,OBC,117677.04,Farmer,Self-Employed,Primary,4,4.96,False,False,PM Kisan,Agriculture,True,264
27,Female,Maharashtra,OBC,117677.04,Farmer,Self-Employed,Primary,4,4.96,False,False,Post Matric Scholarship,Education,False,264
27,Female,Maharashtra,OBC,117677.04,Farmer,Self-Employed,Primary,4,4.96,False,False,Ayushman Bharat,Healthcare,False,264
27,Female,Maharashtra,OBC,117677.04,Farmer,Self-Employed,Primary,4,4.96,False,False,PM Awas Yojana,Housing,False,264
27,Female,Maharashtra,OBC,117677.04,Farmer,Self-Employed,Primary,4,4.96,False,False,Skill India,Employment,False,264
36,Other,Karnataka,SC,189995.53,Farmer,Self-Employed,Higher Secondary,7,4.91,False,False,PM Kisan,Agriculture,True,265
36,Other,Karnataka,SC,189995.53,Farmer,Self-Employed,Higher Secondary,7,4.91,False,False,Post Matric Scholarship,Education,False,265
36,Other,Karnataka,SC,189995.53,Farmer,Self-Employed,Higher Secondary,7,4.91,False,False,Ayushman Bharat,Healthcare,False,265
36,Other,Karnataka,SC,189995.53,Farmer,Self-Employed,Higher Secondary,7,4.91,False,False,PM Awas Yojana,Housing,False,265
36,Other,Karnataka,SC,189995.53,Farmer,Self-Employed,Higher Secondary,7,4.91,False,False,Skill India,Employment,False,265
48,Male,Kerala,General,1662062.16,Business,Self-Employed,Post Graduate,7,0.87,False,True,PM Kisan,Agriculture,False,266
48,Male,Kerala,General,1662062.16,Business,Self-Employed,Post Graduate,7,0.87,False,True,Post Matric Scholarship,Education,False,266
48,Male,Kerala,General,1662062.16,Business,Self-Employed,Post Graduate,7,0.87,False,True,Ayushman Bharat,Healthcare,False,266
48,Male,Kerala,General,1662062.16,Business,Self-Employed,Post Graduate,7,0.87,False,True,PM Awas Yojana,Housing,False,266
48,Male,Kerala,General,1662062.16,Business,Self-Employed,Post Graduate,7,0.87,False,True,Skill India,Employment,False,266
51,Female,Delhi,OBC,1318887.52,Business,Self-Employed,Higher Secondary,3,1.37,False,True,PM Kisan,Agriculture,False,267
51,Female,Delhi,OBC,1318887.52,Business,Self-Employed,Higher Secondary,3,1.37,False,True,Post Matric Scholarship,Education,False,267
51,Female,Delhi,OBC,1318887.52,Business,Self-Employed,Higher Secondary,3,1.37,False,True,Ayushman Bharat,Healthcare,False,267
51,Female,Delhi,OBC,1318887.52,Business,Self-Employed,Higher Secondary,3,1.37,False,True,PM Awas Yojana,Housing,False,267
51,Female,Delhi,OBC,1318887.52,Business,Self-Employed,Higher Secondary,3,1.37,False,True,Skill India,Employment,False,267
35,Other,Delhi,OBC,0.0,Homemaker,Unemployed,Primary,4,1.32,False,False,PM Kisan,Agriculture,False,268
35,Other,Delhi,OBC,0.0,Homemaker,Unemployed,Primary,4,1.32,False,False,Post Matric Scholarship,Education,False,268
35,Other,Delhi,OBC,0.0,Homemaker,Unemployed,Primary,4,1.32,False,False,Ayushman Bharat,Healthcare,False,268
35,Other,Delhi,OBC,0.0,Homemaker,Unemployed,Primary,4,1.32,False,False,PM Awas Yojana,Housing,False,268
35,Other,Delhi,OBC,0.0,Homemaker,Unemployed,Primary,4,1.32,False,False,Skill India,Employment,False,268
56,Male,Delhi,General,703220.81,Private Employee,Employed,Graduate,2,0.0,False,False,PM Kisan,Agriculture,False,269
56,Male,Delhi,General,703220.81,Private Employee,Employed,Graduate,2,0.0,False,False,Post Matric Scholarship,Education,False,269
56,Male,Delhi,General,703220.81,Private Employee,Employed,Graduate,2,0.0,False,False,Ayushman Bharat,Healthcare,False,269
56,Male,Delhi,General,703220.81,Private Employee,Employed,Graduate,2,0.0,False,False,PM Awas Yojana,Housing,False,269
56,Male,Delhi,General,703220.81,Private Employee,Employed,Graduate,2,0.0,False,False,Skill India,Employment,False,269
28,Female,Maharashtra,ST,1388462.81,Private Employee,Employed,Diploma,4,0.0,False,False,PM Kisan,Agriculture,False,270
28,Female,Maharashtra,ST,1388462.81,Private Employee,Employed,Diploma,4,0.0,False,False,Post Matric Scholarship,Education,False,270
28,Female,Maharashtra,ST,1388462.81,Private Employee,Employed,Diploma,4,0.0,False,False,Ayushman Bharat,Healthcare,False,270
28,Female,Maharashtra,ST,1388462.81,Private Employee,Employed,Diploma,4,0.0,False,False,PM Awas Yojana,Housing,False,270
28,Female,Maharashtra,ST,1388462.81,Private Employee,Employed,Diploma,4,0.0,False,False,Skill India,Employment,False,270
25,Female,Maharashtra,General,1115388.83,Private Employee,Employed,Graduate,5,0.0,False,False,PM Kisan,Agriculture,False,271
25,Female,Maharashtra,General,1115388.83,Private Employee,Employed,Graduate,5,0.0,False,False,Post Matric Scholarship,Education,False,271
25,Female,Maharashtra,General,1115388.83,Private Employee,Employed,Graduate,5,0.0,False,False,Ayushman Bharat,Healthcare,False,271
25,Female,Maharashtra,General,1115388.83,Private Employee,Employed,Graduate,5,0.0,False,False,PM Awas Yojana,Housing,False,271
25,Female,Maharashtra,General,1115388.83,Private Employee,Employed,Graduate,5,0.0,False,False,Skill India,Employment,False,271
69,Female,Kerala,OBC,346014.63,Retired,Retired,Secondary,5,2.97,False,False,PM Kisan,Agriculture,False,272
69,Female,Kerala,OBC,346014.63,Retired,Retired,Secondary,5,2.97,False,False,Post Matric Scholarship,Education,False,272
69,Female,Kerala,OBC,346014.63,Retired,Retired,Secondary,5,2.97,False,False,Ayushman Bharat,Healthcare,False,272
69,Female,Kerala,OBC,346014.63,Retired,Retired,Secondary,5,2.97,False,False,PM Awas Yojana,Housing,False,272
69,Female,Kerala,OBC,346014.63,Retired,Retired,Secondary,5,2.97,False,False,Skill India,Employment,False,272
31,Male,Delhi,OBC,195340.35,Farmer,Self-Employed,Primary,7,6.57,False,True,PM Kisan,Agriculture,True,273
31,Male,Delhi,OBC,195340.35,Farmer,Self-Employed,Primary,7,6.57,False,True,Post Matric Scholarship,Education,False,273
31,Male,Delhi,OBC,195340.35,Farmer,Self-Employed,Primary,7,6.57,False,True,Ayushman Bharat,Healthcare,False,273
31,Male,Delhi,OBC,195340.35,Farmer,Self-Employed,Primary,7,6.57,False,True,PM Awas Yojana,Housing,False,273
31,Male,Delhi,OBC,195340.35,Farmer,Self-Employed,Primary,7,6.57,False,True,Skill India,Employment,False,273
58,Other,Karnataka,General,372074.14,Private Employee,Employed,Post Graduate,2,0.0,False,False,PM Kisan,Agriculture,False,274
58,Other,Karnataka,General,372074.14,Private Employee,Employed,Post Graduate,2,0.0,False,False,Post Matric Scholarship,Education,False,274
58,Other,Karnataka,General,372074.14,Private Employee,Employed,Post Graduate,2,0.0,False,False,Ayushman Bharat,Healthcare,False,274
58,Other,Karnataka,General,372074.14,Private Employee,Employed,Post Graduate,2,0.0,False,False,PM Awas Yojana,Housing,False,274
58,Other,Karnataka,General,372074.14,Private Employee,Employed,Post Graduate,2,0.0,False,False,Skill India,Employment,False,274
41,Female,Maharashtra,ST,836607.95,Private Employee,Employed,Post Graduate,3,0.0,False,False,PM Kisan,Agriculture,False,275
41,Female,Maharashtra,ST,836607.95,Private Employee,Employed,Post Graduate,3,0.0,False,False,Post Matric Scholarship,Education,False,275
41,Female,Maharashtra,ST,836607.95,Private Employee,Employed,Post Graduate,3,0.0,False,False,Ayushman Bharat,Healthcare,False,275
41,Female,Maharashtra,ST,836607.95,Private Employee,Employed,Post Graduate,3,0.0,False,False,PM Awas Yojana,Housing,False,275
41,Female,Maharashtra,ST,836607.95,Private Employee,Employed,Post Graduate,3,0.0,False,False,Skill India,Employment,False,275
32,Other,Delhi,SC,1084169.99,Private Employee,Employed,Diploma,5,0.0,False,False,PM Kisan,Agriculture,False,276
32,Other,Delhi,SC,1084169.99,Private Employee,Employed,Diploma,5,0.0,False,False,Post Matric Scholarship,Education,False,276
32,Other,Delhi,SC,1084169.99,Private Employee,Employed,Diploma,5,0.0,False,False,Ayushman Bharat,Healthcare,False,276
32,Other,Delhi,SC,1084169.99,Private Employee,Employed,Diploma,5,0.0,False,False,PM Awas Yojana,Housing,False,276
32,Other,Delhi,SC,1084169.99,Private Employee,Employed,Diploma,5,0.0,False,False,Skill India,Employment,False,276
64,Other,Delhi,SC,310729.65,Farmer,Self-Employed,Primary,7,5.75,True,False,PM Kisan,Agriculture,False,277
64,Other,Delhi,SC,310729.65,Farmer,Self-Employed,Primary,7,5.75,True,False,Post Matric Scholarship,Education,False,277
64,Other,Delhi,SC,310729.65,Farmer,Self-Employed,Primary,7,5.75,True,False,Ayushman Bharat,Healthcare,False,277
64,Other,Delhi,SC,310729.65,Farmer,Self-Employed,Primary,7,5.75,True,False,PM Awas Yojana,Housing,False,277
64,Other,Delhi,SC,310729.65,Farmer,Self-Employed,Primary,7,5.75,True,False,Skill India,Employment,False,277
46,Male,Kerala,ST,285688.33,Private Employee,Employed,Graduate,3,0.0,False,True,PM Kisan,Agriculture,False,278
46,Male,Kerala,ST,285688.33,Private Employee,Employed,Graduate,3,0.0,False,True,Post Matric Scholarship,Education,False,278
46,Male,Kerala,ST,285688.33,Private Employee,Employed,Graduate,3,0.0,False,True,Ayushman Bharat,Healthcare,False,278
46,Male,Kerala,ST,285688.33,Private Employee,Employed,Graduate,3,0.0,False,True,PM Awas Yojana,Housing,False,278
46,Male,Kerala,ST,285688.33,Private Employee,Employed,Graduate,3,0.0,False,True,Skill India,Employment,False,278
34,Male,Tamil Nadu,General,138389.07,Farmer,Self-Employed,Primary,6,5.84,False,False,PM Kisan,Agriculture,True,279
34,Male,Tamil Nadu,General,138389.07,Farmer,Self-Employed,Primary,6,5.84,False,False,Post Matric Scholarship,Education,False,279
34,Male,Tamil Nadu,General,138389.07,Farmer,Self-Employed,Primary,6,5.84,False,False,Ayushman Bharat,Healthcare,False,279
34,Male,Tamil Nadu,General,138389.07,Farmer,Self-Employed,Primary,6,5.84,False,False,PM Awas Yojana,Housing,False,279
34,Male,Tamil Nadu,General,138389.07,Farmer,Self-Employed,Primary,6,5.84,False,False,Skill India,Employment,False,279
57,Female,Tamil Nadu,SC,0.0,Homemaker,Unemployed,Primary,5,2.92,True,True,PM Kisan,Agriculture,False,280
57,Female,Tamil Nadu,SC,0.0,Homemaker,Unemployed,Primary,5,2.92,True,True,Post Matric Scholarship,Education,False,280
57,Female,Tamil Nadu,SC,0.0,Homemaker,Unemployed,Primary,5,2.92,True,True,Ayushman Bharat,Healthcare,True,280
57,Female,Tamil Nadu,SC,0.0,Homemaker,Unemployed,Primary,5,2.92,True,True,PM Awas Yojana,Housing,True,280
57,Female,Tamil Nadu,SC,0.0,Homemaker,Unemployed,Primary,5,2.92,True,True,Skill India,Employment,False,280
51,Other,Delhi,General,583419.95,Private Employee,Employed,Graduate,5,0.0,False,False,PM Kisan,Agriculture,False,281
51,Other,Delhi,General,583419.95,Private Employee,Employed,Graduate,5,0.0,False,False,Post Matric Scholarship,Education,False,281
51,Other,Delhi,General,583419.95,Private Employee,Employed,Graduate,5,0.0,False,False,Ayushman Bharat,Healthcare,False,281
51,Other,Delhi,General,583419.95,Private Employee,Employed,Graduate,5,0.0,False,False,PM Awas Yojana,Housing,False,281
51,Other,Delhi,General,583419.95,Private Employee,Employed,Graduate,5,0.0,False,False,Skill India,Employment,False,281
47,Other,Karnataka,OBC,372571.19,Farmer,Self-Employed,Higher Secondary,5,5.75,False,False,PM Kisan,Agriculture,False,282
47,Other,Karnataka,OBC,372571.19,Farmer,Self-Employed,Higher Secondary,5,5.75,False,False,Post Matric Scholarship,Education,False,282
47,Other,Karnataka,OBC,372571.19,Farmer,Self-Employed,Higher Secondary,5,5.75,False,False,Ayushman Bharat,Healthcare,False,282
47,Other,Karnataka,OBC,372571.19,Farmer,Self-Employed,Higher Secondary,5,5.75,False,False,PM Awas Yojana,Housing,False,282
47,Other,Karnataka,OBC,372571.19,Farmer,Self-Employed,Higher Secondary,5,5.75,False,False,Skill India,Employment,False,282
40,Male,Kerala,OBC,121487.94,Farmer,Self-Employed,Primary,5,2.08,False,True,PM Kisan,Agriculture,True,283
40,Male,Kerala,OBC,121487.94,Farmer,Self-Employed,Primary,5,2.08,False,True,Post Matric Scholarship,Education,False,283
40,Male,Kerala,OBC,121487.94,Farmer,Self-Employed,Primary,5,2.08,False,True,Ayushman Bharat,Healthcare,False,283
40,Male,Kerala,OBC,121487.94,Farmer,Self-Employed,Primary,5,2.08,False,True,PM Awas Yojana,Housing,False,283
40,Male,Kerala,OBC,121487.94,Farmer,Self-Employed,Primary,5,2.08,False,True,Skill India,Employment,False,283
19,Male,Karnataka,SC,87311.06,Student,Student,Higher Secondary,4,0.0,True,False,PM Kisan,Agriculture,False,284
19,Male,Karnataka,SC,87311.06,Student,Student,Higher Secondary,4,0.0,True,False,Post Matric Scholarship,Education,True,284
19,Male,Karnataka,SC,87311.06,Student,Student,Higher Secondary,4,0.0,True,False,Ayushman Bharat,Healthcare,True,284
19,Male,Karnataka,SC,87311.06,Student,Student,Higher Secondary,4,0.0,True,False,PM Awas Yojana,Housing,True,284
19,Male,Karnataka,SC,87311.06,Student,Student,Higher Secondary,4,0.0,True,False,Skill India,Employment,True,284
57,Male,Delhi,SC,0.0,Homemaker,Unemployed,Higher Secondary,3,2.52,True,True,PM Kisan,Agriculture,False,285
57,Male,Delhi,SC,0.0,Homemaker,Unemployed,Higher Secondary,3,2.52,True,True,Post Matric Scholarship,Education,False,285
57,Male,Delhi,SC,0.0,Homemaker,Unemployed,Higher Secondary,3,2.52,True,True,Ayushman Bharat,Healthcare,True,285
57,Male,Delhi,SC,0.0,Homemaker,Unemployed,Higher Secondary,3,2.52,True,True,PM Awas Yojana,Housing,True,285
57,Male,Delhi,SC,0.0,Homemaker,Unemployed,Higher Secondary,3,2.52,True,True,Skill India,Employment,False,285
44,Female,Delhi,ST,399864.63,Government Employee,Employed,Graduate,4,0.0,False,False,PM Kisan,Agriculture,False,286
44,Female,Delhi,ST,399864.63,Government Employee,Employed,Graduate,4,0.0,False,False,Post Matric Scholarship,Education,False,286
44,Female,Delhi,ST,399864.63,Government Employee,Employed,Graduate,4,0.0,False,False,Ayushman Bharat,Healthcare,False,286
44,Female,Delhi,ST,399864.63,Government Employee,Employed,Graduate,4,0.0,False,False,PM Awas Yojana,Housing,False,286
44,Female,Delhi,ST,399864.63,Government Employee,Employed,Graduate,4,0.0,False,False,Skill India,Employment,False,286
23,Female,Kerala,General,33993.21,Student,Unemployed,Higher Secondary,4,0.0,True,True,PM Kisan,Agriculture,False,287
23,Female,Kerala,General,33993.21,Student,Unemployed,Higher Secondary,4,0.0,True,True,Post Matric Scholarship,Education,False,287
23,Female,Kerala,General,33993.21,Student,Unemployed,Higher Secondary,4,0.0,True,True,Ayushman Bharat,Healthcare,True,287
23,Female,Kerala,General,33993.21,Student,Unemployed,Higher Secondary,4,0.0,True,True,PM Awas Yojana,Housing,True,287
23,Female,Kerala,General,33993.21,Student,Unemployed,Higher Secondary,4,0.0,True,True,Skill India,Employment,True,287
47,Male,Delhi,SC,61357.3,Farmer,Self-Employed,Primary,5,6.71,True,False,PM Kisan,Agriculture,True,288
47,Male,Delhi,SC,61357.3,Farmer,Self-Employed,Primary,5,6.71,True,False,Post Matric Scholarship,Education,False,288
47,Male,Delhi,SC,61357.3,Farmer,Self-Employed,Primary,5,6.71,True,False,Ayushman Bharat,Healthcare,True,288
47,Male,Delhi,SC,61357.3,Farmer,Self-Employed,Primary,5,6.71,True,False,PM Awas Yojana,Housing,True,288
47,Male,Delhi,SC,61357.3,Farmer,Self-Employed,Primary,5,6.71,True,False,Skill India,Employment,False,288
49,Female,Karnataka,OBC,607341.6,Government Employee,Employed,Post Graduate,6,0.0,False,False,PM Kisan,Agriculture,False,289
49,Female,Karnataka,OBC,607341.6,Government Employee,Employed,Post Graduate,6,0.0,False,False,Post Matric Scholarship,Education,False,289
49,Female,Karnataka,OBC,607341.6,Government Employee,Employed,Post Graduate,6,0.0,False,False,Ayushman Bharat,Healthcare,False,289
49,Female,Karnataka,OBC,607341.6,Government Employee,Employed,Post Graduate,6,0.0,False,False,PM Awas Yojana,Housing,False,289
49,Female,Karnataka,OBC,607341.6,Government Employee,Employed,Post Graduate,6,0.0,False,False,Skill India,Employment,False,289
